Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
2023,Honda,HR-V Sport,New,"$28,395",4.7,739,Milano Red,Black,AWD,,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ2H53PM722458,C17619,1,4,5,4,5,5,5,IL,Dealer
2021,Honda,Odyssey Elite,Used,"$43,543",4.9,920,White,Mocha,Front-wheel Drive,23.5,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H97MB016529,2530PPA,19927,5,5,4.9,4.8,4.8,5,IN,Dealer
2009,Honda,Accord LX,Used,"$9,995",4.4,0,White,Tan,Front-wheel Drive,25.5,Gasoline,5-Speed Automatic,2.4L I4 16V MPFI DOHC,1HGCP26319A086630,86630,110888,4.4,4.4,4.3,4.4,4.5,4.5,TN,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240",5,2634,Urban Gray Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H91PH800407,23H139,8,5,3,4,4,5,5,IN,Dealer
2019,Honda,Civic Type R Touring,Used,"$35,844",4.8,47,Blue,Black / Red,Front-wheel Drive,25,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,SHHFK8G70KU201633,201633,35912,4.6,4.7,5,4.8,4.8,4.8,IN,Dealer
2021,Honda,Pilot Special Edition,Used,"$32,500",4.3,110,Platinum White Pearl,Black,Front-wheel Drive,23.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H25MB009188,MB009188,53142,4.9,4.8,4.8,4.7,4.7,4.8,MI,Dealer
2022,Honda,HR-V EX-L,Used,"$29,990",5,15,Lunar Silver Metallic,Black,All-wheel Drive,28.5,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,3CZRU6H7XNM712966,NM712966,2852,3.8,3.2,3.6,3.6,4.2,4.2,MI,Dealer
2020,Honda,CR-V EX,Used,"$25,997",4.8,248,White,Gray,Front-wheel Drive,31,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RW1H52LL002647,PLL002647,25368,4.9,4.8,4.8,4.8,4.9,4.9,AL,Dealer
2018,Honda,Odyssey Touring,Used,"$24,930",4.6,535,White,Beige,Front-wheel Drive,23.5,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H89JB051818,JB051818,133469,4.8,4.7,4.6,4.3,4.7,4.6,AL,Dealer
2022,Honda,Pilot Special Edition,Used,"$40,700",4.5,463,NH 877,–,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H20NB042302,Z01935,12173,5,5,5,5,5,5,KY,Dealer
2004,Honda,S2000,Used,"$39,995",4.7,32,New Formula Red,Black,Rear-wheel Drive,22.5,Gasoline,6-Speed Manual,2.2L I4 16V MPFI DOHC,JHMAP21494T002412,4T002412,27257,4.1,4.5,4.8,4.7,4.8,4.9,OH,Dealer
2020,Honda,Civic LX,Honda Certified,"$21,900",4.6,178,Cosmic Blue Metallic,Black,Front-wheel Drive,34,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,2HGFC2F62LH541951,M1N541951,14943,4.8,4.8,4.9,4.8,4.9,4.9,MI,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500",5,4402,Platinum White Pearl,Black,All-wheel Drive,22,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H86NB093159,9707,1,5,5,5,5,5,5,GA,Dealer
2020,Honda,HR-V EX,Used,"$25,900",4.7,1992,Modern Steel Metallic,Black,All-wheel Drive,28.5,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,3CZRU6H58LM736646,10112,10871,4.7,4.8,4.7,4.8,4.8,4.7,OH,Dealer
2016,Honda,Odyssey SE,Used,"$20,900",4.7,1992,Deep Scarlet Pearl,Truffle,Front-wheel Drive,23.5,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNRL5H36GB080734,10114,76395,4.8,4.6,4.7,4.6,4.7,4.8,OH,Dealer
2021,Honda,Ridgeline Sport,Used,"$33,500",4.3,697,Radiant Red Metallic II,Black,All-wheel Drive,21,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F18MB009591,20066BS,28062,4.9,4.7,4.7,4.5,4.9,4.6,OH,Dealer
2022,Honda,Accord Hybrid Base,New,"$32,560",5,306,Platinum White Pearl,Blk Fabric W/Synthetic Lt,Front-wheel Drive,42.5,Hybrid,eCVT,4 Cylinder Engine,1HGCV3F22NA043041,220050,10,4.9,5,5,4.9,4.9,5,MI,Dealer
2021,Honda,HR-V LX,Used,"$23,935",4.2,8,Modern Steel Metallic,Gray,All-wheel Drive,29,Gasoline,continuously variable w/sport mode,4 Cylinder Engine,3CZRU6H32MM755323,22RPA547,19508,4.7,4.6,4.6,4.7,4.7,4.8,TN,Dealer
2017,Honda,Odyssey EX-L,Used,"$26,550",4.8,172,White Diamond Pearl,Beige,Front-wheel Drive,23,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNRL5H60HB017723,M23090A,54225,4.8,4.6,4.8,4.6,4.7,4.8,MI,Dealer
2022,Honda,Accord Hybrid Sport,New,"$33,858",3.8,405,White,Black,Front-wheel Drive,42.5,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F2XNA040145,NA040145,7,4.9,5,5,4.9,4.9,5,GA,Dealer
2023,Honda,HR-V EX-L,Used,"$29,444",4.5,572,Modern Steel Metallic,Black,Front-wheel Drive,,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ1H72PM700267,P88525A,6281,4,5,4,5,5,5,FL,Dealer
2018,Honda,Odyssey Elite,Used,"$36,900",5,150,Pacific Pewter Metallic,Mocha,Front-wheel Drive,23.5,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H9XJB008386,PT008386,29100,4.8,4.7,4.6,4.3,4.7,4.6,NC,Dealer
2022,Honda,Pilot Special Edition,New,"$44,205",5,810,–,–,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H20NB102403,B102403,–,5,5,5,5,5,5,FL,Dealer
2022,Honda,Pilot Sport,New,Not Priced,5,1767,Platinum White Pearl,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H38NB099310,412744,7,5,5,5,5,5,5,SC,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$44,871",4.9,3495,Platinum White Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H97PH800508,Q00508,10001,5,3,4,4,5,5,NC,Dealer
2023,Honda,CR-V EX-L,Used,"$35,562",5,2857,Radiant Red Metallic,Gray,All-wheel Drive,29.5,Gasoline,CVT,4 Cylinder Engine,5J6RS4H79PL001676,L32622B,2582,5,5,5,4,4,5,SC,Dealer
2016,Honda,Civic EX,Used,"$17,998",4.6,3,Silver,Black,Front-wheel Drive,36,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,2HGFC2F72GH507751,23737041,107358,4.6,4.6,4.6,4.6,4.8,4.6,NC,Dealer
2019,Honda,Insight Touring,Used,"$20,778",4.9,2257,Silver,Black,Front-wheel Drive,48,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,19XZE4F98KE033604,H3T091938A,95245,4.6,4.8,4.5,4.7,4.8,4.8,VA,Dealer
2023,Honda,Civic Sport Touring,Used,"$31,999",4.4,880,Boost Blue Pearl,–,Front-wheel Drive,,Gasoline,Automatic,1.5L 4 Cyl.,19XFL1H80PE001782,91211A,381,,,,,,,NC,Dealer
2023,Honda,Odyssey Sport,Honda Certified,"$42,708",5,2945,Platinum White,Black,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H77PB000981,PB000981,4098,5,5,4,4,4,5,FL,Dealer
2023,Honda,CR-V EX-L,New,"$35,555",4.7,0,Crystal Black Pearl,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS3H70PH301997,PH301997,15,5,5,5,4,4,5,NC,Dealer
2023,Honda,CR-V EX-L,New,"$38,940",4.7,1,Radiant Red Metallic,Gray,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS3H75PH301736,Q10245,0,5,5,5,4,4,5,NC,Dealer
2023,Honda,Ridgeline RTL,New,"$43,075",4.1,321,Obsidian Blue Pearl,Gray,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F55PB008793,H30041,10,5,4.8,4.8,4.2,5,5,MD,Dealer
2023,Honda,Civic Si Base,New,"$39,999",5,5648,Platinum White,Black / Red,Front-wheel Drive,,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFE1E57PH471348,230302,11,,,,,,,FL,Dealer
2022,Honda,CR-V Hybrid Touring,New,"$38,625",4.7,3094,Sonic Gray Pearl,Black,All-wheel Drive,37.5,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,5J6RT6H9XNL021653,X21653,11,4.6,4.9,4.5,4.6,4.8,4.7,FL,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240",5,5331,Radiant Red Metallic,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H99PH801319,PH801319,10,5,3,4,4,5,5,NJ,Dealer
2023,Honda,Ridgeline RTL-E,New,"$49,068",4.6,1480,Lunar Silver Metallic,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F77PB012880,PB012880,5,5,4.8,4.8,4.2,5,5,MA,Dealer
2023,Honda,Pilot Touring,New,"$50,240",5,1161,Sonic Gray Pearl,Black,All-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H76PB001686,MH12198,5,,,,,,,MA,Dealer
2023,Honda,Odyssey EX-L,New,"$42,250",4.9,879,Radiant Red Metallic II,Beige,Front-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNRL6H60PB024613,PB024613,8,5,5,4,4,4,5,CA,Dealer
2023,Honda,Civic Sport Touring,New,"$32,500",4.9,79,Sonic Gray Pearl,Black,Front-wheel Drive,32.5,Gasoline,Manual,4 Cylinder Engine,19XFL1G87PE002896,41174-89,0,,,,,,,CA,Dealer
2023,Honda,Civic Sport,New,"$26,940",4.9,79,Blue,–,Front-wheel Drive,,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC,19XFL2G81PE002107,130385X,200,,,,,,,CA,Dealer
2023,Honda,Civic Sport Touring,New,"$32,500",4.9,79,Platinum White Pearl,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,19XFL1H83PE002618,30430,–,,,,,,,CA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,300",4.4,23,Radiant Red Metallic,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H95PH806100,30416,10,5,3,4,4,5,5,CA,Dealer
2022,Honda,Accord Sport 1.5T,New,"$29,375",5,18,Still Night Pearl,Black,FWD,32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F3XNA121756,7521756,–,5,5,5,5,5,5,CA,Dealer
2022,Honda,Pilot Sport,New,"$40,770",5,333,Platinum White Pearl,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H37NB100754,78724,5,5,5,5,5,5,5,NV,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240",4.7,5248,Platinum White Pearl,Sport,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H95PE000275,PE000275,12,5,3,4,4,5,5,AZ,Dealer
2022,Honda,Passport Elite,Used,"$44,587",3.2,72,Crystal Black Pearl,–,All-wheel Drive,21.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H00NB005969,P12570,6481,5,5,4.9,5,4.9,5,ID,Dealer
2023,Honda,Odyssey EX-L,New,"$41,300",4.6,175,Lunar Silver Metallic,Mocha,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H69PB032998,H1223025,7,5,5,4,4,4,5,OR,Dealer
2022,Honda,Pilot EX-L,New,"$41,566",5,10,Platinum White Pearl,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H52NB087476,13020,85,5,5,5,5,5,5,WA,Dealer
2022,Honda,Pilot Special Edition,New,"$42,988",4.7,790,Platinum White Pearl,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H20NB101526,220211,72,5,5,5,5,5,5,WA,Dealer
2022,Honda,Pilot Sport,New,Not Priced,3.9,144,Platinum White Pearl,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB099306,223871,5,5,5,5,5,5,5,WA,Dealer
2023,Honda,Passport Elite,New,"$48,250",3.9,144,Radiant Red Metallic,–,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNYF8H02PB004521,23006H,11,,,,,,,NE,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,150",4.8,2503,Platinum White Pearl,Black,Front-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H50PH702296,H3702296,5,5,3,4,4,5,5,TX,Dealer
2018,Honda,Clarity Plug-In Hybrid Touring,Used,"$21,998",4.4,1138,Crystal Black Pearl,Black,Front-wheel Drive,,Hybrid,Variable,Gas/Electric I-4 1.5 L/91,JHMZC5F36JC005943,N2639A,51860,4.8,4.7,4.6,4.6,4.4,4.7,TX,Dealer
2022,Honda,Accord Hybrid Sport,New,"$32,165",5,2599,Lunar Silver Metallic,Black,Front-wheel Drive,42.5,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F25NA047441,75035,9,4.9,5,5,4.9,4.9,5,TX,Dealer
2021,Honda,Clarity Plug-In Hybrid Base,Used,"$27,140",2.4,560,Platinum White Pearl,Beige,Front-wheel Drive,,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,JHMZC5F10MC000238,000238A,64273,,,,,,,TX,Dealer
2022,Honda,Pilot Special Edition,Used,"$39,000",4.6,1144,Crystal Black Pearl,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H2XNB038841,9038841,18999,5,5,5,5,5,5,ND,Dealer
2020,Honda,CR-V Hybrid Touring,Used,"$34,244",4.7,665,Platinum White Pearl,Ivory,All-wheel Drive,37.5,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,7FART6H91LE023706,PJ174763A,20579,4.7,4.6,4.3,4.3,4.6,4.6,MO,Dealer
2023,Honda,Pilot TrailSport,New,"$52,583",4.5,1627,Sky Blue Pearl,Black,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI DOHC,5FNYG1H64PB001838,PB001838,4,,,,,,,IA,Dealer
2015,Honda,CR-V Touring,Used,"$21,900",5,305,Modern Steel Metallic,Gray,Front-wheel Drive,30.5,Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,5J6RM3H93FL020762,FL020762A,60575,4.4,4.4,4.3,4.3,4.6,4.5,TX,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240",5,1155,Radiant Red Metallic,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H92PH803428,PH803428,5,5,3,4,4,5,5,MO,Dealer
2023,Honda,Civic EX,New,Not Priced,4.5,3710,Lunar Silver Metallic,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HGFE1F73PH303755,PH303755,8,,,,,,,MO,Dealer
2023,Honda,Odyssey EX-L,New,"$41,905",4.4,13,Crystal Black Pearl,Black,FWD,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H64PB036330,H13512,1,5,5,4,4,4,5,IA,Dealer
2023,Honda,Odyssey Touring,New,"$45,895",5,4978,Modern Steel Metallic,Gray,Front-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNRL6H89PB032940,PB032940,7,5,5,4,4,4,5,WI,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$47,465",5,3543,Crystal Black Pearl,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H61NB097490,98203,12,5,5,5,5,5,5,IL,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,850",4.8,1732,Platinum White Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H98PH807239,P2156,5,5,3,4,4,5,5,IL,Dealer
2023,Honda,HR-V Sport,New,"$29,040",4.7,436,Platinum White Pearl,Nh-883p/Black,All-wheel Drive,27.5,Gasoline,continuously variable (m cvt),4 Cylinder Engine,3CZRZ2H58PM727784,K727784,4,4,5,4,5,5,5,IL,Dealer
2023,Honda,Pilot Elite,New,"$53,830",4.8,1732,Platinum White Pearl,Black,AWD,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H81PB004701,P2171,1,,,,,,,IL,Dealer
2022,Honda,Pilot EX-L,New,"$44,000",4.6,1874,Platinum White Pearl,–,AWD,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H58NB097770,NB097770,8,5,5,5,5,5,5,IL,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470",4.7,739,Platinum White Pearl,Black,Front-wheel Drive,32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F35NA095051,C17641,3,5,5,5,5,5,5,IL,Dealer
2023,Honda,Odyssey Elite,New,"$50,915",4.9,2138,Black,Black,Front-wheel Drive,,Gasoline,10-Speed Automatic with Overdrive,3.5L V6 24V GDI SOHC,5FNRL6H91PB031614,2747Z,4,5,5,4,4,4,5,IN,Dealer
2022,Honda,Pilot Sport,New,"$43,770",4.7,64,Sonic Gray Pearl,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H32NB098234,220676,4,5,5,5,5,5,5,IN,Dealer
2023,Honda,Odyssey Elite,New,"$55,310",4.7,64,Platinum White Pearl,Beige,Front-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNRL6H92PB020671,230085,4,5,5,4,4,4,5,IN,Dealer
2023,Honda,Odyssey Elite,New,"$51,310",5,5663,Radiant Red,Beige,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H91PB032553,B032553,–,5,5,4,4,4,5,KY,Dealer
2023,Honda,CR-V EX,New,"$33,855",4.7,38,Crystal Black Pearl,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARS4H42PE007516,53088,14,5,5,5,4,4,5,IN,Dealer
2023,Honda,Pilot TrailSport,New,"$51,845",5,1722,Platinum White Pearl,Black,All-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H67PB002613,PB002613,3,,,,,,,TN,Dealer
2015,Honda,Crosstour EX-L,Used,"$15,898",4.4,1192,Kona Coffee Metallic,Black,Four-wheel Drive,23.5,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5J6TF2H5XFL003187,FL003187,117013,4.7,4.8,4.6,4.5,4.7,4.8,OH,Dealer
2023,Honda,Ridgeline RTL-E,New,"$47,485",4.4,1192,Crystal Black Pearl,Black,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F71PB005293,PB005293,5,5,4.8,4.8,4.2,5,5,OH,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845",4.6,784,Meteorite Gray,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H94PH800210,7423,–,5,3,4,4,5,5,OH,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845",4.8,1043,Crystal Black Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H96PH800418,37031,104,5,3,4,4,5,5,OH,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470",4.8,2242,Sonic Gray Pearl,–,Front-wheel Drive,32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F39NA106357,NA106357,5,5,5,5,5,5,5,TN,Dealer
2022,Honda,Passport TrailSport,New,"$44,881",4.9,2,Silver Metallic,Black,All-wheel Drive,21.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H66NB019265,H22410,–,5,5,4.9,5,4.9,5,OH,Dealer
2022,Honda,Ridgeline RTL-E,New,"$45,760",5,2546,Pacific Pewter Metallic,Black,All-wheel Drive,21,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F77NB028560,NB028560,23,5,4.9,4.9,4.3,4.7,5,GA,Dealer
2022,Honda,Passport TrailSport,New,"$44,265",5,2546,Lunar Silver Metallic,Black,All-wheel Drive,21.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H68NB023706,NB023706,17,5,5,4.9,5,4.9,5,GA,Dealer
2022,Honda,Accord Sport SE 1.5T,New,"$31,960",5,306,Sonic Gray Pearl,Blk Perforated Lth,Front-wheel Drive,32,Gasoline,CVT,4 Cylinder Engine,1HGCV1F49NA092078,220054,0,5,5,5,5,5,5,MI,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,395",4.4,306,Meteorite Gray Metallic,Blk Lth,All-wheel Drive,37,Hybrid,electronic continuously variable,4 Cylinder Engine,7FARS6H9XPE004970,233019,0,5,3,4,4,5,5,MI,Dealer
2023,Honda,CR-V EX-L,New,"$37,005",4.8,1152,Crystal Black Pearl,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARS4H78PE013119,RS4H7PJW,0,5,5,5,4,4,5,GA,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$36,200",4.8,1152,Platinum White Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H59PE004486,E004486,5,5,3,4,4,5,5,GA,Dealer
2023,Honda,CR-V EX-L,New,"$36,505",4.9,574,Crystal Black Pearl,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RS4H75PL000671,23-0030,–,5,5,5,4,4,5,MI,Dealer
2023,Honda,CR-V EX-L,New,"$36,900",4.5,170,Still Night Pearl,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H7XPH400302,W20675,2,5,5,5,4,4,5,OH,Dealer
2023,Honda,CR-V Hybrid Sport,Used,"$36,995",4.4,0,Blue,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H59PH800944,HT1438A,385,5,3,4,4,5,5,OH,Dealer
2022,Honda,Ridgeline RTL-E,Used,"$41,240",4.7,314,White,–,All-wheel Drive,21,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F72NB023895,FT26299A,11061,5,4.9,4.9,4.3,4.7,5,NC,Dealer
2023,Honda,Odyssey Elite,New,"$49,810",5,3207,Platinum White Pearl,Beige,Front-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNRL6H95PB031065,Q100273,0,5,5,4,4,4,5,NC,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500",5,401,Gray,Black,All-wheel Drive,22,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H81NB098673,NB098673,8,5,5,5,5,5,5,PA,Dealer
2023,Honda,CR-V EX,New,"$32,535",4.7,1659,Radiant Red Metallic,–,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H42PH401031,PH401031,5,5,5,5,4,4,5,FL,Dealer
2022,Honda,Accord Sport 2.0T,New,"$38,550",5,20,Platinum White Pearl,Black,Front-wheel Drive,27,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F39NA020147,HO7513,9,5,5,5,5,5,5,NC,Dealer
2023,Honda,Odyssey Touring,Used,"$43,821",4.9,3004,Pacific Pewter Metallic,Black,Front-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNRL6H84PB009923,P121660A,2874,5,5,4,4,4,5,FL,Dealer
2017,Honda,Civic LX-P,Used,"$18,322",4.1,1919,Silver,Black / Gray,Front-wheel Drive,34.5,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,2HGFC4B03HH300243,F17887,77322,4.7,4.7,4.8,4.8,4.8,4.8,SC,Dealer
2017,Honda,Odyssey,Used,"$32,998",4.8,889,–,–,Front-wheel Drive,23,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNRL5H96HB023455,PH02902A,46274,4.8,4.6,4.8,4.6,4.7,4.8,VA,Dealer
2023,Honda,Civic Sport,New,"$25,745",4.8,889,Crystal Black Pearl,Black,Front-wheel Drive,,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,2HGFE2F53PH513146,JH230052,2,,,,,,,PA,Dealer
2022,Honda,Accord Sport 1.5T,Used,"$29,998",4.8,3229,Still Night Pearl,Black,Front-wheel Drive,32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F31NA010755,A010755,26943,5,5,5,5,5,5,FL,Dealer
2022,Honda,CR-V Hybrid Touring,Used,"$34,990",4.1,679,Pearl,–,All-wheel Drive,37.5,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,5J6RT6H94NL038531,B023854A,10324,4.6,4.9,4.5,4.6,4.8,4.7,FL,Dealer
2022,Honda,Pilot Black Edition,New,"$53,560",4.2,231,Sonic Gray Pearl,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H71NB102924,2221128H,2,5,5,5,5,5,5,VA,Dealer
2019,Honda,HR-V EX,Used,"$24,963",4.9,61,Black,Black,All-wheel Drive,28.5,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,3CZRU6H53KM741316,2399P,15059,4.6,4.6,4.4,4.6,4.8,4.7,VA,Dealer
2022,Honda,Pilot EX-L,New,"$44,000",4.2,231,Platinum,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H51NB082334,222981H,2,5,5,5,5,5,5,VA,Dealer
